,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:15.110000
0,0.0,0.0,0.0,0.0,0.0,09:00:15.112000
0,-2.999999999997449e-05,-0.5,-2.999999999997449e-05,-30.0,1.4999999999987246e-05,09:00:15.132000
0,0.0,-0.447213595499958,-2.999999999997449e-05,0.0,1.341640786498733e-05,09:00:15.136000
0,-2.999999999997449e-05,-0.6454972243679027,-2.999999999997449e-05,-30.0,1.5491933384816497e-05,09:00:15.156000
0,0.0,-0.5855400437691198,-2.999999999997449e-05,0.0,1.4638501094215553e-05,09:00:15.169000
0,0.0,-0.5400617248673217,-2.999999999997449e-05,0.0,1.3887301496576463e-05,09:00:15.171000
0,0.0,-0.5039526306789696,-2.999999999997449e-05,0.0,1.3228756555311706e-05,09:00:15.171000
0,0.0,-0.4743416490252569,-2.999999999997449e-05,0.0,1.2649110640662763e-05,09:00:15.192000
0,0.0,-0.44946657497549475,-2.999999999997449e-05,0.0,1.213559752432804e-05,09:00:15.192000
0,-2.999999999997449e-05,-0.5527707983925666,-2.999999999997449e-05,-30.0,1.3568010505987827e-05,09:00:15.200000
0,0.0,-0.5262348115842175,-2.999999999997449e-05,0.0,1.3155870289594253e-05,09:00:15.202000
0,0.0,-0.5032362797401965,-2.999999999997449e-05,0.0,1.277445940877874e-05,09:00:15.221000
0,0.0,-0.48304589153964794,-2.999999999997449e-05,0.0,1.2421180068151814e-05,09:00:15.235000
0,0.0,-0.4651302547095316,-2.999999999997449e-05,0.0,1.2093386622437543e-05,09:00:15.246000
0,0.0,-0.4490887131390719,-2.999999999997449e-05,0.0,1.178857871989061e-05,09:00:15.253000
0,0.0,-0.4346134936801765,-2.999999999997449e-05,0.0,1.1504474832700776e-05,09:00:15.264000
0,0.0,-0.4214636152117623,-2.999999999997449e-05,0.0,1.123902973897077e-05,09:00:15.276000
0,-2.999999999997449e-05,-0.4873397172404482,-2.999999999997449e-05,-30.0,1.231174022501138e-05,09:00:15.296000
0,-2.999999999997449e-05,-0.5455447255899809,-2.999999999997449e-05,-30.0,1.309307341414841e-05,09:00:15.642000
0,2.999999999997449e-05,-0.3628518182485374,-2.999999999997449e-05,30.0,1.5032432470283766e-05,09:00:15.933000
0,2.999999999997449e-05,-0.23798351961093298,-2.999999999997449e-05,30.0,1.644249771855957e-05,09:00:15.957000
0,2.999999999997449e-05,-0.1427938056148999,-2.999999999997449e-05,30.0,1.7507762253638054e-05,09:00:16.545000
0,2.999999999997449e-05,-0.06546536707079771,-2.999999999997449e-05,30.0,1.8330302779807776e-05,09:00:16.901000
0,2.999999999997449e-05,0.0,-2.999999999997449e-05,30.0,1.8973665960994144e-05,09:00:18.162000
0,2.999999999997449e-05,0.05703729703670443,-2.999999999997449e-05,30.0,1.9480430680211725e-05,09:00:18.922000
0,2.999999999997449e-05,0.10778636357219329,-2.999999999997449e-05,30.0,1.9880595947743197e-05,09:00:19.097000
0,2.999999999997449e-05,0.1536658498277947,-2.999999999997449e-05,30.0,2.0196083120207275e-05,09:00:19.203000
0,2.999999999997449e-05,0.19566253699376965,-2.999999999997449e-05,30.0,2.0443361623814417e-05,09:00:19.353000
0,0.0001500000000000945,0.2636135563079063,-2.999999999997449e-05,150.0,3.303956572393229e-05,09:00:20.014000
0,0.0001500000000000945,0.32019415681135255,-2.999999999997449e-05,150.0,4.099075426830952e-05,09:00:20.043000
0,0.0001500000000000945,0.3686368028491013,-2.999999999997449e-05,150.0,4.6855677835843306e-05,09:00:20.043000
0,8.999999999992347e-05,0.406134796060376,-6.000000000017103e-05,90.0,4.779635947026732e-05,09:00:20.043000
0,0.0001500000000000945,0.4450106918038034,-6.000000000017103e-05,150.0,5.200517104219617e-05,09:00:20.270000
0,0.0001500000000000945,0.4809463341067641,-6.000000000017103e-05,150.0,5.544624166062396e-05,09:00:20.460000
0,0.0001500000000000945,0.514495755427472,-6.000000000017103e-05,150.0,5.830951894847959e-05,09:00:20.493000
0,-8.500000000000174e-05,0.44609688566752276,-0.00023500000000009624,-85.0,6.046597740796615e-05,09:00:20.531000
0,0.0001500000000000945,0.47949509399312784,-0.00023500000000009624,150.0,6.283318746249626e-05,09:00:20.734000
0,0.0001500000000000945,0.5107645608754237,-0.00023500000000009624,150.0,6.485375559972265e-05,09:00:20.785000
0,-0.00031999999999998696,0.2900444073454208,-0.00047000000000008146,-320.0,8.451186956614345e-05,09:00:21.077000
0,-8.500000000000174e-05,0.25719452637645857,-0.00047000000000008146,-85.0,8.516807186134914e-05,09:00:21.079000
0,-8.500000000000174e-05,0.22655441233968612,-0.00047000000000008146,-85.0,8.57127629986785e-05,09:00:21.289000
0,-8.500000000000174e-05,0.19783382636366428,-0.00047000000000008146,-85.0,8.616046537023615e-05,09:00:21.328000
0,0.0001500000000000945,0.22869875460234176,-0.00047000000000008146,150.0,8.745128514053691e-05,09:00:21.576000
0,0.0001500000000000945,0.25770943175891164,-0.00047000000000008146,150.0,8.857295909096738e-05,09:00:21.612000
0,0.0001500000000000945,0.2851218635835359,-0.00047000000000008146,150.0,8.954737659448219e-05,09:00:21.644000
0,0.0001500000000000945,0.31114166910556884,-0.00047000000000008146,150.0,9.039290713092292e-05,09:00:21.651000
0,-0.0003049999999999997,0.21049048032422285,-0.00047000000000008146,-305.0,0.00010131826664756919,09:00:21.678000
0,0.0001500000000000945,0.23450504762874713,-0.00047000000000008146,150.0,0.00010191678278012175,09:00:22.508000
0,0.0001500000000000945,0.25747913492706265,-0.00047000000000008146,150.0,0.00010242596561115947,09:00:22.900000
0,0.0001500000000000945,0.2795178866141948,-0.00047000000000008146,150.0,0.00010285567177211168,09:00:23.136000
0,0.0001500000000000945,0.30071105540302456,-0.00047000000000008146,150.0,0.0001032144821130168,09:00:23.343000
0,0.0001500000000000945,0.3211358592187482,-0.00047000000000008146,150.0,0.00010350990020745299,09:00:23.379000
0,0.0001500000000000945,0.3408592076699781,-0.00047000000000008146,150.0,0.00010374851424845018,09:00:23.868000
0,0.0001500000000000945,0.35993945726656273,-0.00047000000000008146,150.0,0.00010393613017546386,09:00:24.295000
0,0.0001500000000000945,0.37842780972923384,-0.00047000000000008146,150.0,0.00010407788196245833,09:00:24.939000
0,0.0001500000000000945,0.39636943673805086,-0.00047000000000008146,150.0,0.00010417832360671272,09:00:25.528000
0,0.0001500000000000945,0.4138043926866631,-0.00047000000000008146,150.0,0.00010424150633179483,09:00:25.553000
0,0.0001500000000000945,0.43076836148150105,-0.00047000000000008146,150.0,0.00010427104375126892,09:00:25.675000
0,0.0001500000000000945,0.44729327220480386,-0.00047000000000008146,150.0,0.00010427016715998022,09:00:25.866000
0,0.0001500000000000945,0.46340781025164307,-0.00047000000000008146,150.0,0.00010424177267687145,09:00:26.241000
0,0.0001500000000000945,0.4791378444761264,-0.00047000000000008146,150.0,0.00010418846162162952,09:00:26.651000
0,0.0001500000000000945,0.49450678633782696,-0.00047000000000008146,150.0,0.00010411257524151578,09:00:26.962000
0,0.0001500000000000945,0.5095358936064034,-0.00047000000000008146,150.0,0.00010401622469599461,09:00:27.186000
0,0.0001500000000000945,0.5242445285645061,-0.00047000000000008146,150.0,0.00010390131704165915,09:00:27.769000
0,0.0001500000000000945,0.538650378635341,-0.00047000000000008146,150.0,0.00010376957782840427,09:00:27.923000
0,0.0001500000000000945,0.5527696457995811,-0.00047000000000008146,150.0,0.00010362257081228072,09:00:28.045000
0,0.0001500000000000945,0.5666172099458643,-0.00047000000000008146,150.0,0.00010346171520529602,09:00:28.159000
0,0.0001500000000000945,0.5802067703384102,-0.00047000000000008146,150.0,0.0001032883008132768,09:00:28.207000
0,0.0001500000000000945,0.5935509686238777,-0.00047000000000008146,150.0,0.00010310350135645033,09:00:28.251000
0,0.0009749999999999481,0.4972743631352063,-0.00047000000000008146,975.0,0.00014858777038711003,09:00:28.293000
0,0.0009749999999999481,0.4754534650926292,-0.00047000000000008146,975.0,0.00018136975128695058,09:00:28.334000
0,0.0009749999999999481,0.4731179352635048,-0.00047000000000008146,975.0,0.00020765064251594117,09:00:28.377000
0,0.0001500000000000945,0.47949218607888894,-0.0008249999999998536,150.0,0.00020632939640250145,09:00:29.098000
0,0.0001500000000000945,0.48580125929365914,-0.0008249999999998536,150.0,0.00020503294557687712,09:00:29.135000
0,0.0001500000000000945,0.49204692061553096,-0.0008249999999998536,150.0,0.0002037605278260059,09:00:29.156000
0,0.0001500000000000945,0.49823086176758075,-0.0008249999999998536,150.0,0.00020251141316200778,09:00:29.166000
0,0.0001500000000000945,0.5043547046077058,-0.0008249999999998536,150.0,0.000201284902102336,09:00:29.181000
0,0.0001500000000000945,0.5104200049647226,-0.0008249999999998536,150.0,0.0002000803240599895,09:00:29.596000
0,0.0001500000000000945,0.5164282562141689,-0.0008249999999998536,150.0,0.00019889703583562685,09:00:29.669000
0,0.0001500000000000945,0.5223808926147068,-0.0008249999999998536,150.0,0.00019773442020410843,09:00:29.754000
0,0.0001500000000000945,0.5341247808120199,-0.0008249999999998536,150.0,0.00019546885981602073,09:00:29.776000
0,-0.0007000000000000339,0.4457490889629687,-0.001674999999999982,-700.0,0.00021299241842874587,09:00:29.776000
0,0.0001500000000000945,0.5282792924241018,-0.0008249999999998536,150.0,0.00019659188458861083,09:00:29.776000
0,-0.0007000000000000339,0.37516006353020764,-0.001674999999999982,-700.0,0.00022842962977520683,09:00:29.796000
0,-0.0007000000000000339,0.31652080900004204,-0.001674999999999982,-700.0,0.00024221682899432795,09:00:29.953000
0,-0.0007000000000000339,0.2664029237115379,-0.001674999999999982,-700.0,0.0002546552723438181,09:00:29.980000
0,-0.0007000000000000339,0.22263717140275716,-0.001674999999999982,-700.0,0.00026596404712216553,09:00:30.008000
0,-0.0007000000000000339,0.18377181264464226,-0.001674999999999982,-700.0,0.00027630884762510645,09:00:30.263000
0,0.0001500000000000945,0.188634498462248,-0.001674999999999982,150.0,0.0002749663094025894,09:00:30.414000
0,-0.0007000000000000339,0.1536065009519593,-0.001674999999999982,-700.0,0.00028446486251007704,09:00:30.447000
0,-0.0007000000000000339,0.12174094322273606,-0.001674999999999982,-700.0,0.00029323680091674395,09:00:30.469000
0,-0.0015500000000000513,0.05631188308744111,-0.0025249999999999995,-1550.0,0.00033438390268075344,09:00:30.481000
0,-0.0015500000000000513,0.0062673483922216664,-0.0025249999999999995,-1550.0,0.00036950067696821926,09:00:30.483000
0,-0.0015500000000000513,-0.034614388029070756,-0.0025249999999999995,-1550.0,0.0004002430045851121,09:00:30.951000
0,-0.0015500000000000513,-0.06943359866076067,-0.0025249999999999995,-1550.0,0.0004276131760721808,09:00:30.974000
0,-0.0015500000000000513,-0.09994812932008432,-0.0025249999999999995,-1550.0,0.00045227541465885904,09:00:31.163000
0,-0.0015500000000000513,-0.12724718493255047,-0.0025249999999999995,-1550.0,0.00047469844174568415,09:00:31.920000
0,-0.0015500000000000513,-0.15205097423376426,-0.0025249999999999995,-1550.0,0.000495228658543156,09:00:31.990000
0,-0.0015500000000000513,-0.1748599836288485,-0.0025249999999999995,-1550.0,0.000514131296556669,09:00:32.032000
0,-0.0015500000000000513,-0.19603594001563088,-0.0025249999999999995,-1550.0,0.0005316152041618946,09:00:32.463000
0,-0.0015500000000000513,-0.21584873338566776,-0.0025249999999999995,-1550.0,0.0005478486036475739,09:00:32.935000
0,-0.0015500000000000513,-0.23450509884268156,-0.0025249999999999995,-1550.0,0.0005629695534158367,09:00:33.338000
0,-0.0015500000000000513,-0.2521669334470666,-0.0025249999999999995,-1550.0,0.0005770931483144998,09:00:33.362000
0,-0.0015500000000000513,-0.26896343037441445,-0.0025249999999999995,-1550.0,0.0005903166266306506,09:00:33.519000
0,-0.0015500000000000513,-0.28499937164472144,-0.0025249999999999995,-1550.0,0.0006027230865220524,09:00:34.609000
0,-0.0015500000000000513,-0.30036094954583786,-0.0025249999999999995,-1550.0,0.0006143842510687238,09:00:35.074000
0,-0.0015500000000000513,-0.3151199496572568,-0.0025249999999999995,-1550.0,0.0006253625655811351,09:00:35.324000
0,-0.0015500000000000513,-0.3293368187775694,-0.0025249999999999995,-1550.0,0.0006357128156539737,09:00:35.324000
0,-0.0015500000000000513,-0.34306295616873766,-0.0025249999999999995,-1550.0,0.0006454833944021035,09:00:35.324000
0,-0.0015500000000000513,-0.35634245261415115,-0.0025249999999999995,-1550.0,0.0006547173083560982,09:00:35.335000
