,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:16.822000
0,0.0,0.0,0.0,0.0,0.0,09:00:16.824000
0,0.0,0.0,0.0,0.0,0.0,09:00:16.880000
0,0.0,0.0,0.0,0.0,0.0,09:00:17.308000
0,0.0,0.0,0.0,0.0,0.0,09:00:17.329000
0,0.0,0.0,0.0,0.0,0.0,09:00:17.622000
0,0.0,0.0,0.0,0.0,0.0,09:00:17.745000
0,0.0,0.0,0.0,0.0,0.0,09:00:17.943000
0,0.0,0.0,0.0,0.0,0.0,09:00:19.094000
0,0.0,0.0,0.0,0.0,0.0,09:00:19.165000
0,0.0,0.0,0.0,0.0,0.0,09:00:19.656000
0,0.0,0.0,0.0,0.0,0.0,09:00:19.937000
0,0.0,0.0,0.0,0.0,0.0,09:00:20.437000
0,0.00010500000000002174,0.2581988897471611,0.0,105.0,2.7110883423457535e-05,09:00:20.464000
0,0.00010500000000002174,0.3659625273556999,0.0,105.0,3.5864327680866024e-05,09:00:20.498000
0,0.00010500000000002174,0.4490887131390718,0.0,105.0,4.1260025519660774e-05,09:00:20.500000
0,0.00010500000000002174,0.5194624816493196,0.0,105.0,4.491822635439166e-05,09:00:20.624000
0,0.00010500000000002174,0.5816750507471109,0.0,105.0,4.750346247769057e-05,09:00:20.624000
0,0.00010500000000002174,0.6380774695464942,0.0,105.0,4.936704632808108e-05,09:00:20.770000
0,0.00010500000000002174,0.6900655593423543,0.0,105.0,5.071981861167354e-05,09:00:20.779000
0,0.00010500000000002174,0.7385489458759964,0.0,105.0,5.1698426211330455e-05,09:00:20.837000
0,0.00010500000000002174,0.7841599532608998,0.0,105.0,5.239614233153461e-05,09:00:20.865000
0,0.00010500000000002174,0.8273595406616215,0.0,105.0,5.287906629447112e-05,09:00:20.904000
0,0.00010500000000002174,0.8684962373468951,0.0,105.0,5.319539453750834e-05,09:00:21.025000
0,0.00010500000000002174,0.9078412990032037,0.0,105.0,5.338106838139943e-05,09:00:21.025000
0,0.00010500000000002174,0.9456108576893001,0.0,105.0,5.346338310782921e-05,09:00:21.198000
0,-0.00021000000000004349,0.5732992518686545,-0.00031500000000006523,-210.0,7.195195156029806e-05,09:00:21.228000
0,0.0,0.5604040070286863,-0.00031500000000006523,0.0,7.106941725501631e-05,09:00:21.261000
0,0.0,0.537043480534034,-0.00031500000000006523,0.0,6.937625325809275e-05,09:00:21.262000
0,0.0,0.5483479902610272,-0.00031500000000006523,0.0,7.021088922324858e-05,09:00:21.262000
0,0.0,0.5264151253153319,-0.00031500000000006523,0.0,6.856518413749356e-05,09:00:21.306000
0,0.0,0.5163977794943222,-0.00031500000000006523,0.0,6.777720855864384e-05,09:00:21.309000
0,0.0,0.5069347893759355,-0.00031500000000006523,0.0,6.701175170305595e-05,09:00:21.318000
0,0.0,0.4979766171938705,-0.00031500000000006523,0.0,6.626817175867394e-05,09:00:21.349000
0,0.0,0.48947972896639985,-0.00031500000000006523,0.0,6.554578552433236e-05,09:00:21.838000
0,0.0,0.48140568803852524,-0.00031500000000006523,0.0,6.484388737368753e-05,09:00:21.849000
0,0.0,0.47372041075820476,-0.00031500000000006523,0.0,6.416176325074067e-05,09:00:22.176000
0,0.00021000000000004349,0.5033222956847165,-0.00031500000000006523,210.0,6.953794874592921e-05,09:00:22.759000
0,0.00031500000000006523,0.5142049977013223,-0.00031500000000006523,315.0,8.167948617334236e-05,09:00:22.795000
0,0.00031500000000006523,0.5333733911956585,-0.00031500000000006523,315.0,9.122790410728685e-05,09:00:22.855000
0,0.00031500000000006523,0.5553420784260998,-0.00031500000000006523,315.0,9.903805624793893e-05,09:00:23.184000
0,0.00042000000000008697,0.5639623230453964,-0.00031500000000006523,420.0,0.0001125755560233159,09:00:23.505000
0,0.00042000000000008697,0.5794000103243993,-0.00031500000000006523,420.0,0.0001235604208064149,09:00:23.552000
0,0.00042000000000008697,0.5976965664614191,-0.00031500000000006523,420.0,0.0001327317869718274,09:00:23.645000
