,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:37.973000
0,0.0,0.0,0.0,0.0,0.0,09:00:38.291000
0,-5.999999999994898e-05,-0.5,-5.999999999994898e-05,-60.0,2.999999999997449e-05,09:00:39.688000
0,-5.999999999994898e-05,-0.7302967433402215,-5.999999999994898e-05,-60.0,3.286335345028202e-05,09:00:39.728000
0,-5.999999999994898e-05,-0.9128709291752769,-5.999999999994898e-05,-60.0,3.286335345028202e-05,09:00:39.769000
0,-5.999999999994898e-05,-1.0690449676496976,-5.999999999994898e-05,-60.0,3.2071349029463655e-05,09:00:39.805000
0,-5.999999999994898e-05,-1.20761472884912,-5.999999999994898e-05,-60.0,3.105295017037954e-05,09:00:40.085000
0,-5.999999999994898e-05,-1.3333333333333333,-5.999999999994898e-05,-60.0,2.999999999997449e-05,09:00:41.862000
0,-5.999999999994898e-05,-1.449137674618944,-5.999999999994898e-05,-60.0,2.8982753492354233e-05,09:00:43.637000
0,-5.999999999994898e-05,-1.556997888323046,-5.999999999994898e-05,-60.0,2.8025961989790998e-05,09:00:43.781000
0,-5.999999999994898e-05,-1.6583123951777,-5.999999999994898e-05,-60.0,2.7136021011975653e-05,09:00:44.051000
0,-5.999999999994898e-05,-1.7541160386140582,-5.999999999994898e-05,-60.0,2.631174057918851e-05,09:00:44.732000
0,-5.999999999994898e-05,-1.8451996923807208,-5.999999999994898e-05,-60.0,2.5548918817557476e-05,09:00:44.892000
0,-5.999999999994898e-05,-1.9321835661585922,-5.999999999994898e-05,-60.0,2.4842360136303625e-05,09:00:45.658000
0,-5.999999999994898e-05,-2.0155644370746373,-5.999999999994898e-05,-60.0,2.4186773244875087e-05,09:00:45.700000
0,-5.999999999994898e-05,-2.0957473279823353,-5.999999999994898e-05,-60.0,2.3577157439781225e-05,09:00:46.745000
0,-5.999999999994898e-05,-2.1730674684008826,-5.999999999994898e-05,-60.0,2.300894966540155e-05,09:00:46.787000
0,-5.999999999994898e-05,-2.2478059477960657,-5.999999999994898e-05,-60.0,2.247805947794154e-05,09:00:46.829000
0,-9.00000000000345e-05,-2.225337650688456,-9.00000000000345e-05,-90.0,2.3591925469700703e-05,09:00:46.860000
0,-9.00000000000345e-05,-2.22416267911184,-9.00000000000345e-05,-90.0,2.4407258873418492e-05,09:00:46.875000
0,-9.00000000000345e-05,-2.235782988907016,-9.00000000000345e-05,-90.0,2.5006492663400304e-05,09:00:47.561000
0,-9.00000000000345e-05,-2.2555341506655777,-9.00000000000345e-05,-90.0,2.5444662112901814e-05,09:00:47.697000
0,-9.00000000000345e-05,-2.280651623191078,-9.00000000000345e-05,-90.0,2.5760181608873008e-05,09:00:48.772000
0,-5.999999999994898e-05,-2.331571662009579,-9.00000000000345e-05,-60.0,2.5219040425844154e-05,09:00:49.839000
0,-5.999999999994898e-05,-2.381410212390401,-9.00000000000345e-05,-60.0,2.471063302741817e-05,09:00:50.576000
0,-5.999999999994898e-05,-2.4302330485399075,-9.00000000000345e-05,-60.0,2.423178671043093e-05,09:00:51.119000
0,-5.999999999994898e-05,-2.478099562890741,-9.00000000000345e-05,-60.0,2.3779743280290188e-05,09:00:51.574000
0,-5.999999999994898e-05,-2.5250635978613665,-9.00000000000345e-05,-60.0,2.335209192009654e-05,09:00:51.575000
0,-5.999999999994898e-05,-2.5711741436046385,-9.00000000000345e-05,-60.0,2.2946714887718078e-05,09:00:51.929000
0,-5.999999999994898e-05,-2.616475927164747,-9.00000000000345e-05,-60.0,2.2561743240822433e-05,09:00:51.955000
0,-5.999999999994898e-05,-2.6610099129643077,-9.00000000000345e-05,-60.0,2.2195520472215294e-05,09:00:53.781000
0,-9.00000000000345e-05,-2.666666666664274,-9.00000000000345e-05,-90.0,2.2500000000008624e-05,09:00:54.956000
0,-9.00000000000345e-05,-2.6766201608787346,-9.00000000000345e-05,-90.0,2.2745981604337866e-05,09:00:54.980000
0,-9.00000000000345e-05,-2.6898825216505657,-9.00000000000345e-05,-90.0,2.2943115625878525e-05,09:00:55.150000
0,-9.00000000000345e-05,-2.7057254976301257,-9.00000000000345e-05,-90.0,2.3099165105520398e-05,09:00:55.258000
0,-9.00000000000345e-05,-2.723601378803511,-9.00000000000345e-05,-90.0,2.322044765265998e-05,09:00:56.363000
0,-9.00000000000345e-05,-2.743091140484607,-9.00000000000345e-05,-90.0,2.331215593869519e-05,09:00:56.859000
0,-9.00000000000345e-05,-2.7638694540367785,-9.00000000000345e-05,-90.0,2.337859500599409e-05,09:01:00.391000
0,-9.00000000000345e-05,-2.808320795953768,-9.00000000000345e-05,-90.0,2.344947864626054e-05,09:01:00.754000
0,-9.00000000000345e-05,-2.7856804864975695,-9.00000000000345e-05,-90.0,2.3423361119932063e-05,09:01:00.754000
0,-5.999999999994898e-05,-2.8350358376630505,-9.00000000000345e-05,-60.0,2.3179349213601412e-05,09:01:00.939000
0,-2.999999999997449e-05,-2.7562650128626442,-9.00000000000345e-05,-30.0,2.354045080114615e-05,09:01:00.978000
0,-2.999999999997449e-05,-2.6870153865259465,-9.00000000000345e-05,-30.0,2.385208116495132e-05,09:01:01.274000
0,-5.999999999994898e-05,-2.7133174350325495,-9.00000000000345e-05,-60.0,2.3587361793225776e-05,09:01:01.457000
