,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:05.916000
0,-4.499999999996174e-05,-0.5773502691896257,-4.499999999996174e-05,-45.0,2.5980762113511068e-05,09:00:05.916000
0,-9.00000000000345e-05,-0.7833494518004059,-9.00000000000345e-05,-90.0,4.30842198490469e-05,09:00:05.941000
0,-9.00000000000345e-05,-0.9999999999997533,-9.00000000000345e-05,-90.0,4.500000000001725e-05,09:00:05.956000
0,-9.00000000000345e-05,-1.1866111313361587,-9.00000000000345e-05,-90.0,4.424364361127672e-05,09:00:05.997000
0,-9.00000000000345e-05,-1.3516906706684761,-9.00000000000345e-05,-90.0,4.280353790452956e-05,09:00:07.164000
0,-9.00000000000345e-05,-1.5008862630017057,-9.00000000000345e-05,-90.0,4.122564215909974e-05,09:00:11.876000
0,-9.00000000000345e-05,-1.6378460497063518,-9.00000000000345e-05,-90.0,3.9686269665987564e-05,09:00:12.272000
0,-9.00000000000345e-05,-1.7650452162433434,-9.00000000000345e-05,-90.0,3.8242646351964176e-05,09:00:13.127000
0,-9.00000000000345e-05,-1.8842421687159336,-9.00000000000345e-05,-90.0,3.690897895193044e-05,09:00:13.374000
0,-9.00000000000345e-05,-1.996734281561598,-9.00000000000345e-05,-90.0,3.568326574946155e-05,09:00:15.564000
0,-9.00000000000345e-05,-2.1035087743763112,-9.00000000000345e-05,-90.0,3.455764415049065e-05,09:00:18.736000
0,-9.00000000000345e-05,-2.2053362055132935,-9.00000000000345e-05,-90.0,3.352258546509867e-05,09:00:20.639000
0,-9.00000000000345e-05,-2.30283093235882,-9.00000000000345e-05,-90.0,3.25686089005247e-05,09:00:20.873000
0,-9.00000000000345e-05,-2.3964916584260685,-9.00000000000345e-05,-90.0,3.168694526143217e-05,09:00:21.426000
0,-9.00000000000345e-05,-2.486729484565985,-9.00000000000345e-05,-90.0,3.0869745325666994e-05,09:00:21.988000
0,-9.00000000000345e-05,-2.5738878416214854,-9.00000000000345e-05,-90.0,3.011009211310604e-05,09:00:22.570000
0,-9.00000000000345e-05,-2.658256987027807,-9.00000000000345e-05,-90.0,2.9401933341387492e-05,09:00:22.688000
0,-9.00000000000345e-05,-2.740084764405421,-9.00000000000345e-05,-90.0,2.8739986814647172e-05,09:00:22.719000
0,-9.00000000000345e-05,-2.819584733964711,-9.00000000000345e-05,-90.0,2.8119642346855725e-05,09:00:23.426000
