,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:19.246000
0,0.0,0.0,0.0,0.0,0.0,09:00:20.555000
0,0.0,0.0,0.0,0.0,0.0,09:00:20.921000
0,0.0,0.0,0.0,0.0,0.0,09:00:23.290000
0,-0.000160000000000049,-0.408248290463863,-0.000160000000000049,-160.0,6.531972647423808e-05,09:00:23.576000
0,-0.000160000000000049,-0.5855400437691199,-0.000160000000000049,-160.0,7.807200583590655e-05,09:00:26.004000
0,-0.000160000000000049,-0.724568837309472,-0.000160000000000049,-160.0,8.280786712110786e-05,09:00:26.909000
0,-0.000160000000000049,-0.8432740427115678,-0.000160000000000049,-160.0,8.43274042711826e-05,09:00:28.062000
0,-0.000160000000000049,-0.9486832980505138,-0.000160000000000049,-160.0,8.43274042711826e-05,09:00:28.424000
0,-0.000160000000000049,-1.044465935734187,-0.000160000000000049,-160.0,8.355727485876055e-05,09:00:30.396000
0,-0.000160000000000049,-1.132843031197762,-0.000160000000000049,-160.0,8.238858408713518e-05,09:00:31.102000
0,-7.999999999996898e-05,-1.1689297502987301,-0.000160000000000049,-80.0,7.896769868687683e-05,09:00:31.139000
0,-7.999999999996898e-05,-1.2039424205152318,-0.000160000000000049,-80.0,7.594098344791629e-05,09:00:31.629000
0,0.0,-1.1097815642164373,-0.000160000000000049,0.0,7.68920083778845e-05,09:00:35.008000
0,0.0,-1.0350983390134414,-0.000160000000000049,0.0,7.728734264636734e-05,09:00:35.042000
0,-0.000160000000000049,-1.0956987783492929,-0.000160000000000049,-160.0,7.730763602800839e-05,09:00:35.079000
0,-0.000160000000000049,-1.153344459768758,-0.000160000000000049,-160.0,7.707054742928394e-05,09:00:35.101000
0,-0.000160000000000049,-1.2084183427311324,-0.000160000000000049,-160.0,7.665522416519711e-05,09:00:41.918000
0,-7.999999999996898e-05,-1.2321842174037954,-0.000160000000000049,-80.0,7.466416035896263e-05,09:00:41.960000
0,0.0,-1.1606396030898156,-0.000160000000000049,0.0,7.549203679230835e-05,09:00:43.117000
0,-0.000160000000000049,-1.2077489306306952,-0.000160000000000049,-160.0,7.527151430524372e-05,09:00:43.153000
0,-7.999999999996898e-05,-1.229133019853975,-0.000160000000000049,-80.0,7.357607447520826e-05,09:00:43.182000
0,-0.000160000000000049,-1.272498673304935,-0.000160000000000049,-160.0,7.334650738059099e-05,09:00:43.214000
0,-0.000160000000000049,-1.3145341380122404,-0.000160000000000049,-160.0,7.302967433404654e-05,09:00:45.847000
0,-0.000160000000000049,-1.3553482951432345,-0.000160000000000049,-160.0,7.264666861971044e-05,09:00:46.136000
0,-0.000160000000000049,-1.3950368977656096,-0.000160000000000049,-160.0,7.221367470789977e-05,09:00:49.017000
0,-0.000160000000000049,-1.4336844589445341,-0.000160000000000049,-160.0,7.174322230770985e-05,09:00:49.381000
0,-0.000160000000000049,-1.4713658760583315,-0.000160000000000049,-160.0,7.124508452496228e-05,09:00:49.548000
0,-0.000160000000000049,-1.508147805727631,-0.000160000000000049,-160.0,7.072693157898328e-05,09:00:51.111000
0,-0.000160000000000049,-1.5440898198544608,-0.000160000000000049,-160.0,7.019481339786028e-05,09:00:52.092000
0,-0.000160000000000049,-1.5792453759458258,-0.000160000000000049,-160.0,6.965352039365424e-05,09:00:52.189000
0,-7.999999999996898e-05,-1.586657656043628,-0.000160000000000049,-80.0,6.875516509525759e-05,09:00:52.230000
0,-7.999999999996898e-05,-1.5942985925882485,-0.000160000000000049,-80.0,6.788897300721873e-05,09:00:52.603000
0,-0.000160000000000049,-1.6265278064534816,-0.000160000000000049,-160.0,6.745306491472367e-05,09:00:53.777000
0,-0.00024000000000001798,-1.6204655562210042,-0.00024000000000001798,-240.0,6.993874871222532e-05,09:00:53.813000
0,-0.00024000000000001798,-1.6208106080065394,-0.00024000000000001798,-240.0,7.20360270225412e-05,09:01:00.100000
0,-0.00024000000000001798,-1.6256866681057387,-0.00024000000000001798,-240.0,7.381496222752962e-05,09:01:01.889000
0,-0.00031999999999998696,-1.5726147497567646,-0.00031999999999998696,-320.0,7.95669792284355e-05,09:01:02.830000
0,-0.00024000000000001798,-1.5878325230363768,-0.00031999999999998696,-240.0,8.06130357849397e-05,09:01:02.863000
0,-0.00031999999999998696,-1.5598833234717826,-0.00031999999999998696,-320.0,8.505952005050082e-05,09:01:07.705000
0,-0.00031999999999998696,-1.54355647319968,-0.00031999999999998696,-320.0,8.88486165061333e-05,09:01:08.241000
0,-0.00031999999999998696,-1.5351186101689718,-0.00031999999999998696,-320.0,9.21071166101399e-05,09:01:08.243000
0,-0.00031999999999998696,-1.5322540089041037,-0.00031999999999998696,-320.0,9.492848092373178e-05,09:01:13.113000
0,-0.00031999999999998696,-1.533448915355789,-0.00031999999999998696,-320.0,9.738396358557778e-05,09:01:13.568000
0,-0.00031999999999998696,-1.5376721886178124,-0.00031999999999998696,-320.0,9.952932711780114e-05,09:01:14.174000
0,-0.00031999999999998696,-1.5441977209872413,-0.00031999999999998696,-320.0,0.00010140912821756596,09:01:14.374000
0,-0.00031999999999998696,-1.552500051612525,-0.00031999999999998696,-320.0,0.00010305957789426832,09:01:15.163000
0,-0.00031999999999998696,-1.5621901480396132,-0.00031999999999998696,-320.0,0.00010451052090383877,09:01:17.574000
0,-0.00031999999999998696,-1.5729743691534188,-0.00031999999999998696,-320.0,0.00010578684768371183,09:01:23.051000
0,-0.00031999999999998696,-1.5846273830997464,-0.00031999999999998696,-320.0,0.00010690952744644915,09:01:26.549000
0,-0.000160000000000049,-1.598563880433203,-0.00031999999999998696,-160.0,0.00010586425184642859,09:01:28.164000
0,-0.000160000000000049,-1.6123808553016479,-0.00031999999999998696,-160.0,0.00010484905177193607,09:01:28.201000
0,-0.000160000000000049,-1.6260813045682625,-0.00031999999999998696,-160.0,0.00010386251192633139,09:01:28.302000
0,-0.00036000000000002697,-1.6249359396997307,-0.00036000000000002697,-360.0,0.00010607411169421493,09:01:28.818000
0,-0.00036000000000002697,-1.6261586987416308,-0.00036000000000002697,-360.0,0.00010805482014164774,09:01:28.843000
0,-0.00036000000000002697,-1.62927656168282,-0.00036000000000002697,-360.0,0.00010983240821695842,09:01:28.843000
0,-0.00036000000000002697,-1.6339278844559688,-0.00036000000000002697,-360.0,0.00011143023339605981,09:01:28.879000
0,-0.00036000000000002697,-1.639831640512666,-0.00036000000000002697,-360.0,0.00011286813913705546,09:01:31.205000
0,-0.00036000000000002697,-1.6467663366300245,-0.00036000000000002697,-360.0,0.00011416313038360057,09:01:31.243000
0,-0.00036000000000002697,-1.654555220363475,-0.00036000000000002697,-360.0,0.00011532989034312554,09:01:32.208000
0,-0.00036000000000002697,-1.6630556874815918,-0.00036000000000002697,-360.0,0.00011638118227411108,09:01:32.248000
0,-0.00036000000000002697,-1.6721515583583508,-0.00036000000000002697,-360.0,0.00011732816634343008,09:01:32.248000
0,-0.000260000000000038,-1.6901847310052929,-0.00036000000000002697,-260.0,0.00011666624149582442,09:01:32.248000
0,-0.000260000000000038,-1.7080299798318845,-0.00036000000000002697,-260.0,0.00011601309607772141,09:01:32.295000
0,-0.000260000000000038,-1.7256930213316637,-0.00036000000000002697,-260.0,0.00011536867022693059,09:01:32.577000
0,-0.000160000000000049,-1.7323145311078287,-0.00036000000000002697,-160.0,0.00011459088931133058,09:01:32.660000
0,-0.000160000000000049,-1.7389445251821227,-0.00036000000000002697,-160.0,0.00011382834449527796,09:01:34.435000
0,-0.000160000000000049,-1.7455812946052949,-0.00036000000000002697,-160.0,0.00011308055657899335,09:01:34.435000
0,-0.000160000000000049,-1.7522232575132697,-0.00036000000000002697,-160.0,0.00011234706651282585,09:01:34.478000
0,-0.000160000000000049,-1.7588689489497147,-0.00036000000000002697,-160.0,0.00011162743437268362,09:01:34.478000
0,-0.000160000000000049,-1.7655170116161285,-0.00036000000000002697,-160.0,0.00011092123839355814,09:01:34.480000
0,-0.000160000000000049,-1.7721661874535861,-0.00036000000000002697,-160.0,0.00011022807405784722,09:01:34.507000
