,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:38.461000
0,0.0,0.0,0.0,0.0,0.0,09:00:38.502000
0,0.0,0.0,0.0,0.0,0.0,09:00:38.555000
0,0.0,0.0,0.0,0.0,0.0,09:00:38.603000
0,0.0,0.0,0.0,0.0,0.0,09:00:39.540000
0,0.0,0.0,0.0,0.0,0.0,09:00:39.598000
0,1.999999999990898e-05,0.3535533905932738,0.0,20.0,7.071067811833294e-06,09:00:39.613000
0,1.999999999990898e-05,0.5039526306789697,0.0,20.0,8.819171036841833e-06,09:00:39.739000
0,1.0000000000065512e-05,0.588348405415356,-9.999999999843467e-06,10.0,8.498365855956555e-06,09:00:40.772000
0,1.0000000000065512e-05,0.6650266477836724,-9.999999999843467e-06,10.0,8.201995322622222e-06,09:00:42.415000
0,1.0000000000065512e-05,0.7356389458406319,-9.999999999843467e-06,10.0,7.929614610967414e-06,09:00:43.033000
0,1.0000000000065512e-05,0.8013366759555277,-9.999999999843467e-06,10.0,7.67947647786663e-06,09:00:43.864000
0,1.999999999990898e-05,0.8653599980769776,-9.999999999843467e-06,20.0,8.254203058529829e-06,09:00:45.041000
0,1.999999999990898e-05,0.9281909617871565,-9.999999999843467e-06,20.0,8.618916073681482e-06,09:00:45.179000
0,1.999999999990898e-05,0.9886321950182251,-9.999999999843467e-06,20.0,8.850612031531737e-06,09:00:46.029000
0,1.999999999990898e-05,1.046511904271059,-9.999999999843467e-06,20.0,8.993461677267154e-06,09:00:47.121000
0,1.999999999990898e-05,1.1019463300413983,-9.999999999843467e-06,20.0,9.074852129689002e-06,09:00:47.177000
0,1.999999999990898e-05,1.1551284429875242,-9.999999999843467e-06,20.0,9.112679939059244e-06,09:00:48.553000
0,1.0000000000065512e-05,1.1837105087688462,-9.999999999843467e-06,10.0,8.870412083188155e-06,09:00:49.485000
0,1.999999999990898e-05,1.2318679173108118,-9.999999999843467e-06,20.0,8.89087279443625e-06,09:00:50.192000
0,1.0000000000065512e-05,1.2569555696543993,-9.999999999843467e-06,10.0,8.678978933257761e-06,09:00:50.227000
0,1.999999999990898e-05,1.3010353264096532,-9.999999999843467e-06,20.0,8.688732424553016e-06,09:00:50.329000
0,1.999999999990898e-05,1.3439083836335908,-9.999999999843467e-06,20.0,8.681147322779242e-06,09:00:51.771000
0,1.0000000000065512e-05,1.363919534909772,-9.999999999843467e-06,10.0,8.504900548070584e-06,09:00:51.945000
0,1.0000000000065512e-05,1.3836790571393895,-9.999999999843467e-06,10.0,8.338972450950974e-06,09:00:52.171000
0,1.0000000000065512e-05,1.4031934758507465,-9.999999999843467e-06,10.0,8.182393717662558e-06,09:00:52.622000
0,1.0000000000065512e-05,1.422469403454709,-9.999999999843467e-06,10.0,8.034317926841054e-06,09:00:53.034000
