,return,sharpe_ratio,max_drawdown,total_pnl,std,time
0,0.0,0.0,0.0,0.0,0.0,09:00:00
0,0.0,0.0,0.0,0.0,0.0,09:00:01.778000
0,0.0,0.0,0.0,0.0,0.0,09:00:02.290000
0,0.0,0.0,0.0,0.0,0.0,09:00:02.333000
0,0.0,0.0,0.0,0.0,0.0,09:00:02.381000
0,0.0,0.0,0.0,0.0,0.0,09:00:03.179000
0,0.0,0.0,0.0,0.0,0.0,09:00:03.598000
0,0.0,0.0,0.0,0.0,0.0,09:00:03.599000
0,0.0,0.0,0.0,0.0,0.0,09:00:03.600000
0,0.0,0.0,0.0,0.0,0.0,09:00:06.574000
0,0.0,0.0,0.0,0.0,0.0,09:00:08.165000
0,0.0,0.0,0.0,0.0,0.0,09:00:09.880000
0,0.0,0.0,0.0,0.0,0.0,09:00:10.036000
0,0.0,0.0,0.0,0.0,0.0,09:00:10.125000
0,0.0,0.0,0.0,0.0,0.0,09:00:10.501000
0,0.0,0.0,0.0,0.0,0.0,09:00:10.502000
0,0.0001100000000000545,0.24253562503633297,0.0,110.0,2.6678918754009843e-05,09:00:14.838000
0,0.0,0.23570226039551578,-0.0001100000000000545,0.0,2.5927248643519593e-05,09:00:14.991000
0,0.0001100000000000545,0.3338489304447943,-0.0001100000000000545,110.0,3.468319444067082e-05,09:00:15.231000
0,0.0001100000000000545,0.4094472601245848,-0.0001100000000000545,110.0,4.029823033859752e-05,09:00:16.235000
0,0.0001100000000000545,0.4733810683311508,-0.0001100000000000545,110.0,4.426112988898454e-05,09:00:16.236000
0,0.0001100000000000545,0.5298572101062741,-0.0001100000000000545,110.0,4.718252299520112e-05,09:00:17.995000
0,0.0,0.5154614273559054,-0.0001100000000000545,0.0,4.639152846205448e-05,09:00:18.729000
0,0.0,0.502188194262012,-0.0001100000000000545,0.0,4.5633622869918486e-05,09:00:19.131000
0,0.0,0.48989794855663565,-0.0001100000000000545,0.0,4.4907311951047176e-05,09:00:20.323000
0,0.0,0.47847437646934543,-0.0001100000000000545,0.0,4.4211032385789424e-05,09:00:20.679000
0,0.0,0.46781964351149136,-0.0001100000000000545,0.0,4.354321297301423e-05,09:00:20.858000
0,0.0001100000000000545,0.5128225940683707,-0.0001100000000000545,110.0,4.596409917207675e-05,09:00:21.298000
0,0.0001100000000000545,0.554265307725427,-0.0001100000000000545,110.0,4.790435873914994e-05,09:00:21.299000
0,0.0001100000000000545,0.5928871321888775,-0.0001100000000000545,110.0,4.9475408961992915e-05,09:00:21.299000
0,0.0,0.5801774647494381,-0.0001100000000000545,0.0,4.8928299527226863e-05,09:00:22.426000
0,0.0,0.568257570707744,-0.0001100000000000545,0.0,4.839354795707056e-05,09:00:22.651000
0,0.0,0.5570484990582331,-0.0001100000000000545,0.0,4.7871355387840626e-05,09:00:23.179000
0,0.0001100000000000545,0.5911106196862668,-0.0001100000000000545,110.0,4.925921830721331e-05,09:00:23.583000
0,0.0001100000000000545,0.6233549779791836,-0.0001100000000000545,110.0,5.041841733657661e-05,09:00:24.494000
0,0.0,0.6114994880877856,-0.0001100000000000545,0.0,4.996824388376953e-05,09:00:24.646000
0,0.0,0.6003002251876641,-0.0001100000000000545,0.0,4.9524768578006836e-05,09:00:25.014000
0,0.0,0.5896985339156403,-0.0001100000000000545,0.0,4.908841849894789e-05,09:00:26.222000
0,0.0,0.5796428669683019,-0.0001100000000000545,0.0,4.865949330604735e-05,09:00:26.494000
0,0.0,0.5700877125495689,-0.0001100000000000545,0.0,4.823819106191051e-05,09:00:26.537000
0,0.0,0.5609927134532143,-0.0001100000000000545,0.0,4.782462882191023e-05,09:00:27.384000
