date,sForwardRtn_10,sForwardRtn_20,sForwardRtn_30,sForwardRtn_40,sForwardRtn_50,sForwardRtn_60,sForwardRtn_70,sForwardRtn_80,sForwardRtn_90,sForwardRtn_100
2023-05-05,0.0005146090043464113,0.0006014801938172276,0.00040211313520976955,0.00029335677069131094,0.00022841613283819395,0.0001600944013853134,0.00016262400486533046,0.00015500440560056727,0.00012383180563180218,8.696241009553685e-05
2023-05-08,0.0004686646567167996,0.0005601765122157376,0.0003773454971548462,0.0002735922637504551,0.0002089284288182558,0.00014081181115255248,0.00014069836472319075,0.00013398376655504585,0.00010489003597491386,7.269642783935826e-05
2023-05-09,0.00044248661337553674,0.0005294532472721603,0.0003521798371903806,0.0002561110053094229,0.00019874030498934214,0.00013710777594133639,0.00013948738685265472,0.00013765047744496162,0.00011479652314694277,8.265082312808314e-05
2023-05-10,0.00043630663152971483,0.0005190460043649203,0.00034105820863195024,0.0002477405416229095,0.00019333466954274403,0.00013365215881067094,0.00013571931929212688,0.00013536527094504258,0.00011589772766951167,8.384506877279208e-05
2023-05-11,0.00043364289753555774,0.000513477701986842,0.0003351492388884436,0.0002428359194553975,0.00018877847426768124,0.00012926093759502155,0.00013000498819837336,0.0001299779052389427,0.00011162605426140448,7.973386087278822e-05
2023-05-12,0.0004290785067480041,0.0005079034592399001,0.0003320800779631483,0.00024205720862235935,0.000189423728266358,0.00013007856327784673,0.00012963284385014706,0.00012921731887549637,0.00011209449554316908,8.045415765545183e-05
2023-05-15,0.00042967399385285265,0.0005079256572130264,0.00033260669812862353,0.00024192732860672805,0.00018786710036078347,0.0001277196469590125,0.00012624234183189476,0.00012460031505212577,0.00010588423355717413,7.43669562540683e-05
2023-05-16,0.0004311402972475564,0.0005107769748738944,0.0003377407808219379,0.0002470331172077511,0.00019069142069216838,0.00012964356341460537,0.00012840814591630334,0.000126646883868764,0.00010792139785187338,7.657545433781277e-05
2023-05-17,0.00043834813638221615,0.0005222662851228632,0.0003481053374194687,0.00025355668901450024,0.00019515516449619685,0.00013293896517962978,0.0001315642465731237,0.000129943815778355,0.00011177093571512753,8.058355418461005e-05
2023-05-18,0.0004441313202312447,0.0005270790616308529,0.00035152817192074526,0.00025452751330090617,0.00019358830957594275,0.00012972471853489598,0.00012807576658657727,0.00012617958117355776,0.00010640193515198959,7.53149142483922e-05
2023-05-19,0.0004731512160673912,0.0005853515106685192,0.0004175870092932854,0.00032043221886013384,0.0002683869229195279,0.00022922782923928686,0.00028381859444481794,0.00029083282429598345,0.00024979165791194635,0.0001772340081301893
2023-05-22,0.0004666657612345526,0.0005738701320771034,0.0004032646078632185,0.00029845816648721435,0.00023976316392659847,0.00019531595877619878,0.0002424612817811811,0.0002465084236102921,0.00020526916352647806,0.0001403986760032394
2023-05-23,0.000445895323634371,0.0005518661009616954,0.000392483371004948,0.0002877072902019995,0.00022568484675822287,0.0001823035385705163,0.0002301763921419564,0.000234236426446377,0.00019315976298972526,0.00013306337243679245
2023-05-24,0.00043164923462613025,0.0005330477617605522,0.00037357011648730953,0.00027152632400306853,0.00021428466519402,0.0001748674668924366,0.00022348733198984672,0.0002288734363237177,0.00018943305657759257,0.00013005286693223983
2023-05-25,0.0037880208624061495,0.005430224961043728,0.006192619177650793,0.006069420544451254,0.005462686964026631,0.005163536012566139,0.004921932242745286,0.0048834210508210685,0.004684564286935533,0.004124558712643389
2023-05-26,0.004462996245016115,0.006327347490465596,0.006750015053149427,0.006579309514246678,0.005901850775754336,0.005490708619246831,0.005162337469450828,0.005022460707506449,0.004720314974086093,0.0041142304923068584
2023-05-29,0.004350117927899966,0.006167414259644732,0.006532171584908597,0.006208696916529921,0.005526618014600082,0.005089217820487102,0.0049160504281546835,0.004887004331006306,0.004684700185630941,0.004099301809035172
2023-05-30,0.0039166679654498715,0.0056014481566794005,0.0060899256599520335,0.0061609799918204144,0.005860186573150572,0.005543284628959588,0.005304891328997918,0.005121143324399724,0.004688943693174963,0.004037393499806474
2023-05-31,0.004229778764636594,0.006138646761694844,0.006778734032040878,0.006960369548097534,0.006763384804547856,0.0064983044788401445,0.006298349741319376,0.006062685567453818,0.005616311145645536,0.004940104732369388
2023-06-01,0.004089688862376928,0.0056079205130208365,0.00622770464868283,0.006589775306300005,0.006420851568021746,0.00609694719696352,0.005755454851745778,0.005259012857706247,0.004687107871576113,0.003925839208002491
2023-06-02,0.004282002562375209,0.005942292492342016,0.006706136409052155,0.007280930901732652,0.00693694766884434,0.00656716305661087,0.006134371334019506,0.005595309393679249,0.005039612679270777,0.004154210835022654
2023-06-07,0.004877335404137373,0.006508915289390571,0.007320064407710158,0.007902257663990553,0.007373930558622566,0.006972901987100322,0.006498374008028218,0.005877027229306275,0.0053076813666314004,0.004392238412574856
2023-06-08,0.00433782400739291,0.005735285251273536,0.006501022471017692,0.007117656454541543,0.0067105054150496946,0.006441035328828448,0.00597849490837532,0.005335941675820521,0.004820627651278109,0.0038325080213026386
2023-06-09,0.003322731356704467,0.004451079978994632,0.004951496964951452,0.005479796246964264,0.005084417380952,0.004815098415245966,0.0044651280435109575,0.004067637303368232,0.0037157807007738297,0.0029162395121875573
2023-06-12,0.0025866786470478687,0.003500098625109138,0.0038958691391384193,0.004230103881328939,0.0038937123692288633,0.003748352651124276,0.003427233381150918,0.0031057806387239095,0.002809189247805266,0.0022087234150510726
2023-06-13,0.0023822560760494715,0.0031352397549458955,0.003411701726428684,0.003577170826136289,0.003185516538866784,0.0029805685133517112,0.0026270045889339455,0.0023962942725185288,0.0022078417737538825,0.0017210826138670532
