date,sForwardRtn_10,sForwardRtn_20,sForwardRtn_30,sForwardRtn_40,sForwardRtn_50,sForwardRtn_60,sForwardRtn_70,sForwardRtn_80,sForwardRtn_90,sForwardRtn_100
2023-06-07,-0.00031439663046572974,-0.0006974668431229958,-0.0010892586118962377,-0.0015100279406565775,-0.0020183393517529957,-0.002598637194957343,-0.0031758400571351153,-0.0036852552575521447,-0.004080724545991288,-0.0044960002456557735
2023-06-08,0.0013049867626381273,0.0032023692711760088,0.005071584936904738,0.006122240006929736,0.00795598429054023,0.008774975175618871,0.009727737185774243,0.01098410549210116,0.011405780201680926,0.011103318647247229
2023-06-09,0.0017259107888748515,0.004618931139665383,0.0055003688392399885,0.006402865707302086,0.007917381657826184,0.00869882056620841,0.00955409061490442,0.011691243521187,0.01431216065552321,0.015408307728422277
2023-06-12,0.001218594787875782,0.003235919623422734,0.00340323829682887,0.0036813314594702495,0.0038869190944050835,0.005146351317602327,0.00707814473865187,0.008405074651109845,0.008825114328674166,0.009598914676087422
2023-06-13,0.0006504800526863086,0.001073565123721476,0.0014286009051356352,0.000612840595502373,3.8973233934758156e-05,-0.00011142194782465253,-6.676428376617416e-05,0.00017642565853692727,0.0013164742005439267,0.00220446329025914
2023-06-14,0.001831719507224716,0.003180894834213688,0.004267281794849365,0.005435464641024845,0.006589078032752438,0.007374854048299184,0.008105541180426279,0.00938222507592934,0.0101460920266766,0.010603606831909196
2023-06-15,-0.0035741101287747323,-0.0045392358537152955,-0.004936027605191073,-0.005357153310991292,-0.0059588865163680005,-0.006563685619812576,-0.00719415471803031,-0.0077296857294300025,-0.008125464243674552,-0.008314242581115794
2023-06-16,-0.0003066007778711466,-0.0008040081725018133,-0.001409598258049094,-0.0020977859640691765,-0.0028332960408199437,-0.003626383906059738,-0.004498695978791156,-0.005402067582213288,-0.006320456529717244,-0.007286434481519999
2023-06-19,-0.0001864493370362652,-0.0004971696244684409,-0.0008795953427029879,-0.0013213713218134249,-0.0018325265754803866,-0.002369502256075018,-0.002926323597120195,-0.0035065699401741757,-0.0041193415815874435,-0.004751615255283115
2023-06-20,-4.8839361163288686e-05,-0.00011944283504683462,-0.0001922256446660331,-0.0002655745033934842,-0.0003559542722277875,-0.00046076978980336136,-0.0005673401189330018,-0.000667698946709594,-0.0007766173696968082,-0.0008945623836487115
2023-06-21,-0.000282126996398846,-0.0006922957201340729,-0.0011690905730443735,-0.0017169978877422665,-0.0022994491883723267,-0.002919425591530578,-0.0035897992762263797,-0.004286534612180759,-0.0050671923354337345,-0.00580307243999445
2023-06-26,-0.00016548216719503017,-0.0004418250532092216,-0.0007797486855189995,-0.00117960202317402,-0.001638124287197451,-0.002115779208331281,-0.002605215388599147,-0.0031118565077343785,-0.0036089824309279983,-0.004176636334470629
2023-06-27,2.8802405203087744e-05,4.805465150869992e-05,5.704077926071971e-05,7.010460111667172e-05,7.666588917820683e-05,9.038502731550935e-05,9.915069132193643e-05,0.00010210874114424673,0.00010004879752223417,0.0001009150542867765
2023-06-28,-0.0003033222684014625,-0.0007260214582256452,-0.001221604910477181,-0.0017469385036998908,-0.002266516686213249,-0.0028469009184510785,-0.003441911760659666,-0.003999224477066132,-0.004583486787374191,-0.005192697753043873
2023-06-29,5.943596965218845e-05,7.435862008553507e-05,9.388573289137447e-05,0.00011411034911890106,0.00011870659551904694,0.00012265001570588296,0.00011389151703367073,0.00011154486367292993,0.00010900388525703075,0.00010674212906502945
